시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
김대중컨벤션센터,광주광역시,서구,29140,광주광역시 서구 상무누리로 30,광주광역시 서구 치평동 1159-2,35.1467445,126.8404827,안내데스크 옆,09:00,18:00,09:00,18:00,09:00,18:00,2,N,Y,광주광역시 관광공사,062-611-2000,2026-06-08,B555023,광주광역시관광공사
구세군여주나눔의집,경기도,여주시,41670,경기도 여주시 도예로 39-11,경기도 여주시 현암동 189-13,37.30799995,127.6402345,건물 1층 입구,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 구세군여주나눔의집,031-885-1138,2026-06-19,5700000,경기도 여주시
오학동행정복지센터,경기도,여주시,41670,경기도 여주시 도예로2,경기도 여주시 현암동 227-5,37.30541974,127.6381576,복지센터 1층 출입구 엘리베이터 옆,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 오학동행정복지센터,031-887-3477,2026-06-19,5700000,경기도 여주시
여흥동행정복지센터,경기도,여주시,41670,경기도 여주시 여흥로 148,경기도 여주시 상동 285-2,37.29496555,127.6396267,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 여흥동행정복지센터,031-887-3770,2026-06-19,5700000,경기도 여주시
강천면행정복지센터,경기도,여주시,41670,경기도 여주시 강천면 긴등길 5,경기도 여주시 강천면 간매리 311-2,37.27284624,127.7110728,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 강천면행정복지센터,031-887-3992,2026-06-19,5700000,경기도 여주시
북내면행정복지센터,경기도,여주시,41670,경기도 여주시 북내면 여양2로 301,경기도 여주시 북내면 당우리 165-5,37.32905517,127.6790797,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 북내면행정복지센터,031-887-3963,2026-06-19,5700000,경기도 여주시
산북면행정복지센터,경기도,여주시,41670,경기도 여주시 산북면 상품로93,경기도 여주시 산북면 상품리 121,37.40206306,127.442956,복지센터 내 1층 민원창구 옆,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 산북면행정복지센터,031-887-3929,2026-06-19,5700000,경기도 여주시
금사면행정복지센터,경기도,여주시,41670,경기도 여주시 금사면 이포로 27,경기도 여주시 금사면 이포리 197-3,37.39257969,127.5333597,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 금사면행정복지센터,031-887-3904,2026-06-19,5700000,경기도 여주시
흥천면행정복지센터,경기도,여주시,41670,경기도 여주시 흥천면 효자로 154,경기도 여주시 흥천면 효지리 376-6,37.33330365,127.5414254,복지센터 내 1층 민원창구 옆,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 흥천면행정복지센터,031-887-3883,2026-06-19,5700000,경기도 여주시
세종대왕면행정복지센터,경기도,여주시,41670,경기도 여주시 세종대왕면 번도1길 2-9,경기도 여주시 세종대왕면 번도리 502-3,37.30021042,127.5734637,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 세종대왕면행정복지센터,031-887-3855,2026-06-19,5700000,경기도 여주시
점동면행정복지센터,경기도,여주시,41670,경기도 여주시 점동면 청안2길 20,경기도 여주시 점동면 청안리 660-1,37.20378959,127.6599459,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 점동면행정복지센터,031-887-3823,2026-06-19,5700000,경기도 여주시
가남읍행정복지센터,경기도,여주시,41670,경기도 여주시 가남읍 태평중앙1길 20,경기도 여주시 가남읍 태평리 138-8,37.20165418,127.5448729,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 가남읍행정복지센터,031-887-3421,2026-06-19,5700000,경기도 여주시
대신면행정복지센터,경기도,여주시,41670,경기도 여주시 대신면 여양로 1456-10,경기도 여주시 대신면 율촌리 390,37.37507087,127.5865435,복지센터 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,0,N,N,경기도 여주시 대신면행정복지센터,031-887-3472,2026-06-19,5700000,경기도 여주시
지체장애인협회사무실,경기도,여주시,41670,경기도 여주시 소양로 53번길 18,경기도 여주시 창동 139-2,37.29500829,127.6327979,건물 1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,0,N,N,경기도 여주시 지체장애인협회,031-882-0747,2026-06-19,5700000,경기도 여주시
여주시장애인단체사무실,경기도,여주시,41670,경기도 여주시 향교로 30-7,경기도 여주시 교동 241-6,37.28816858,127.6298321,사무실 1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,경기도 여주시 장애인단체연합회,031-885-6657,2026-06-19,5700000,경기도 여주시
여주시장애인복지관,경기도,여주시,41670,경기도 여주시 청심로 105,경기도 여주시 하동 199-4,37.29953755,127.6322747,장애인복지관 1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,경기도 여주시 장애인복지관,031-883-2100,2026-06-19,5700000,경기도 여주시
여주시보건소,경기도,여주시,41670,경기도 여주시 여흥로 160번길 14,경기도 여주시 상동 357,37.29460883,127.6403935,보건소 내 1층 입구 로비,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경기도 여주시청,031-887-3601,2026-06-19,5700000,경기도 여주시
여주시청,경기도,여주시,41670,,경기도 여주시 홍문동 4,37.29821379,127.6366244,본관 1층 엘리베이터 앞,09:00,18:00,09:00,18:00,09:00,18:00,1,N,N,경기도 여주시청,031-887-2597,2026-06-19,5700000,경기도 여주시
여주시장애인자립생활지원센터,경기도,여주시,41670,경기도 여주시 여흥로160번길 49-3,경기도 여주시 상동 373-7,37.29174391,127.6411482,센터 내 1층 입구,09:00,18:00,09:00,18:00,09:00,18:00,0,Y,N,경기도 여주시 장애인자립생활지원센터,031-885-0748,2026-06-19,5700000,경기도 여주시
구암1동행정복지센터,경상남도,창원시,48127,경상남도 창원시 마산회원구 구암서8길 25,경상남도 창원시 마산회원구 구암동 3-9,35.25014599,128.5950949,구암1동행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
석전동행정복지센터,경상남도,창원시,48127,경상남도 창원시 마산회원구 석전동4길 52,경상남도 창원시 마산회원구 석전동 255-6,35.23027923,128.5731149,석전동행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
삼성창원병원,경상남도,창원시,48127,경상남도 창원시 마산회원구 팔용로 158,경상남도 창원시 마산회원구 합성동 50,35.24299639,128.5919658,삼성창원병원 1층 로비,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,삼성창원병원,055-233-8899,2026-05-31,5670000,경상남도 창원시
창원파티마병원,경상남도,창원시,48121,경상남도 창원시 의창구 창이대로 45,경상남도 창원시 의창구 명서동 212,35.23724218,128.6444859,파티마병원 1층 로비,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,파티마병원,055-270-1000,2026-05-31,5670000,경상남도 창원시
진해장애인목욕탕,경상남도,창원시,48129,경상남도 창원시 진해구 충장로603번길 17-9,경상남도 창원시 진해구 풍호동 486-15,35.13586816,128.7039188,진해장애인목욕탕 내,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,진해장애인목욕탕,055-543-7989,2026-05-31,5670000,경상남도 창원시
창원NC파크,경상남도,창원시,48127,경상남도 창원시 마산회원구 삼호로 63,경상남도 창원시 마산회원구 양덕동 477,35.22198486,128.5795801,창원NC파크 장애인휠체어관람석 내,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,창원NC파크,1644-9112,2026-05-31,5670000,경상남도 창원시
중앙동행정복지센터,경상남도,창원시,48123,경상남도 창원시 성산구 외동반림로 5,경상남도 창원시 성산구 중앙동 151,35.22105424,128.6737069,중앙동행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 성산구청,055-272-4389,2026-05-31,5670000,경상남도 창원시
구암2동행정복지센터,경상남도,창원시,48127,경상남도 창원시 마산회원구 구암남16길 12,경상남도 창원시 마산회원구 구암동 86-2,35.24901286,128.5984288,구암2동행정복지센터 1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
합성1동행정복지센터,경상남도,창원시,48127,경상남도 창원시 마산회원구 합성서3길 21,경상남도 창원시 마산회원구 합성동 150-2,35.24218587,128.5838997,합성1동행정복지센터 1층 무인민원발급기 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 마산회원구청,055-230-4383,2026-05-31,5670000,경상남도 창원시
봉림동행정복지센터,경상남도,창원시,48121,경상남도 창원시 의창구 대봉로26번길 5,경상남도 창원시 의창구 봉림동 680,35.25192123,128.6675868,봉림동행정복지센터 1층 입구쪽,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 의창구청,055-212-4387,2026-05-31,5670000,경상남도 창원시
의안민원센터,경상남도,창원시,48121,경상남도 창원시 의창구 읍성로 25,경상남도 창원시 의창구 북동 260,35.26535089,128.6208165,의안민원센터 1층 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 의창구청,055-212-4387,2026-05-31,5670000,경상남도 창원시
팔룡동행정복지센터,경상남도,창원시,48121,경상남도 창원시 의창구 팔용로 435,경상남도 창원시 의창구 팔용동 103-4,35.25547907,128.612832,팔룡동행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 의창구청,055-212-4387,2026-05-31,5670000,경상남도 창원시
의창동행정복지센터,경상남도,창원시,48121,경상남도 창원시 의창구 서상로12번길 75,경상남도 창원시 의창구 서상동 11-6,35.26183421,128.6227674,의창동행정복지센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경상남도 창원시 의창구청,055-212-4387,2026-05-31,5670000,경상남도 창원시
의창구청,경상남도,창원시,48121,경상남도 창원시 의창구 원이대로 80,경상남도 창원시 의창구 도계동 468,35.25530878,128.6343183,의창구청 1층 로비,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,경상남도 창원시 의창구청,055-212-4387,2026-05-31,5670000,경상남도 창원시
진해종합사회복지관,경상남도,창원시,48129,경상남도 창원시 진해구 진해대로 1101,경상남도 창원시 진해구 풍호동 1,35.1314349,128.7101611,진해종합사회복지관 1층,00:00,23:59,00:00,23:59,00:00,23:59,2,Y,Y,진해종합사회복지관,055-540-0100,2026-05-31,5670000,경상남도 창원시
진해장애인복지관,경상남도,창원시,48129,경상남도 창원시 진해구 진해대로 1101,경상남도 창원시 진해구 풍호동 1,35.1314331,128.7101598,진해장애인복지관 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 진해구청,055-548-4386,2026-05-31,5670000,경상남도 창원시
석동행정복지센터,경상남도,창원시,48129,경상남도 창원시 진해구 돌리로 3,경상남도 창원시 진해구 석동 328-13,35.1586265,128.7000495,석동주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 진해구청,055-548-4386,2026-05-31,5670000,경상남도 창원시
웅동2동행정복지센터,경상남도,창원시,48129,경상남도 창원시 진해구 용재로 46,경상남도 창원시 진해구 용원동 1218-2,35.1011466,128.8147597,웅동2동주민센터 1층,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,N,경상남도 창원시 진해구청,055-548-4386,2026-05-31,5670000,경상남도 창원시
